PROVINCIA;FECHA;CASOS;FALLECIDOS;recuperados;descartados epidemiologia;test negativos;test totales
Ciudad de Buenos Aires;19/4/2020;15;;;;;
Córdoba;19/4/2020;11;;;;;
La Rioja;19/4/2020;4;;;;;
Mendoza;19/4/2020;3;;;;;
Neuquén;19/4/2020;3;;;;;
Río Negro;19/4/2020;8;;;;;
Santa Fe;19/4/2020;1;;;;;
Tierra del Fuego;19/4/2020;3;;;;;
Buenos Aires;20/4/2020;42;;;;;
Chaco;20/4/2020;5;;;;;
Ciudad de Buenos Aires;20/4/2020;22;;;;;
Corrientes;20/4/2020;3;;;;;
Mendoza;20/4/2020;1;;;;;
Neuquén;20/4/2020;3;;;;;
Río Negro;20/4/2020;10;;;;;
Santa Cruz;20/4/2020;1;;;;;
Santa Fe;20/4/2020;2;;;;;
Tucumán;20/4/2020;1;;;;;
Buenos Aires;21/4/2020;60;;;;;
Chaco;21/4/2020;5;;;;;
Ciudad de Buenos Aires;21/4/2020;33;;;;;
La Rioja;21/4/2020;1;;;;;
Río Negro;21/4/2020;11;;;;;
Santa Fe;21/4/2020;1;;;;;
Tierra del Fuego;21/4/2020;2;;;;;
Buenos Aires;22/4/2020;61;;;;;
Ciudad de Buenos Aires;22/4/2020;39;;;;;
Chaco;22/4/2020;7;;;;;
Córdoba;22/4/2020;4;;;;;
La Rioja;22/4/2020;5;;;;;
Mendoza;22/4/2020;1;;;;;
Neuquén;22/4/2020;1;;;;;
Río Negro;22/4/2020;17;;;;;
Santa Fe;22/4/2020;5;;;;;
Tucumán;22/4/2020;4;;;;;
Buenos Aires;23/4/2020;84;;;;;
Ciudad de Buenos Aires;23/4/2020;37;;;;;
Chaco;23/4/2020;10;;;;;
Córdoba;23/4/2020;2;;;;;
Corrientes;23/4/2020;1;;;;;
Mendoza;23/4/2020;1;;;;;
Neuquén;23/4/2020;1;;;;;
Río Negro;23/4/2020;4;;;;;
Santa Fe;23/4/2020;6;;;;;
Tierra del Fuego;23/4/2020;1;;;;;
Buenos Aires;24/4/2020;61;;;;;
Ciudad de Buenos Aires;24/4/2020;79;;;;;
Chaco;24/4/2020;7;;;;;
Córdoba;24/4/2020;3;;;;;
Corrientes;24/4/2020;4;;;;;
La Rioja;24/4/2020;2;;;;;
Misiones;24/4/2020;1;;;;;
Río Negro;24/4/2020;11;;;;;
Santa Cruz;24/4/2020;1;;;;;
Santa Fe;24/4/2020;3;;;;;
Tierra del Fuego;24/4/2020;1;;;;;
Tucumán;24/4/2020;-1;;;;;
